"","ensembl_gene_id","external_gene_name","description","gene_biotype","chromosome_name","start_position"
"15","ENSG00000281915","MUC20-OT1","MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]","lncRNA","CHR_HSCHR3_7_CTG3",195658062
"16","ENSG00000275272","YTHDC1","YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]","protein_coding","CHR_HSCHR4_1_CTG9",68310387
"17","ENSG00000281794","MUC20-OT1","MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]","lncRNA","CHR_HSCHR3_4_CTG3",195658062
"18","ENSG00000280993","MUC20-OT1","MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]","lncRNA","CHR_HSCHR3_3_CTG3",195658062
"19","ENSG00000274058","TMPRSS11E","transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]","protein_coding","CHR_HSCHR4_1_CTG9",68447498
"20","ENSG00000275430","MUC20","mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","protein_coding","CHR_HSCHR3_8_CTG3",195721575
"21","ENSG00000281630","MUC20","mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","protein_coding","CHR_HSCHR3_7_CTG3",195720361
"22","ENSG00000276429","PLCH2","phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]","protein_coding","CHR_HSCHR1_1_CTG3",2467459
"23","ENSG00000281216","KIF26B","kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]","protein_coding","CHR_HSCHR1_1_CTG32_1",245353678
"24","ENSG00000273494","PANK4","pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]","protein_coding","CHR_HSCHR1_1_CTG3",2508533
"25","ENSG00000274843","MUC20","mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","protein_coding","CHR_HSCHR3_3_CTG3",195719081
"26","ENSG00000281197","TNFRSF14-AS1","TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966]","lncRNA","CHR_HSCHR1_1_CTG3",2549920
"27","ENSG00000278114","MUC20","mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","protein_coding","CHR_HSCHR3_4_CTG3",195720882
"28","ENSG00000281603","MUC20-OT1","MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]","lncRNA","CHR_HSCHR3_5_CTG3",195658062
"29","ENSG00000273936","TNFRSF14","TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]","protein_coding","CHR_HSCHR1_1_CTG3",2555639
"30","ENSG00000281122","AC108866.1","novel transcript, antisense to MAD2L1","lncRNA","CHR_HSCHR4_4_CTG12",120165490
"31","ENSG00000262446","GBA","glucosylceramidase beta [Source:HGNC Symbol;Acc:HGNC:4177]","protein_coding","CHR_HSCHR1_2_CTG31",155249852
"32","ENSG00000277753","MUC20","mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","protein_coding","CHR_HSCHR3_5_CTG3",195719644
"33","ENSG00000277131","MMEL1","membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]","protein_coding","CHR_HSCHR1_1_CTG3",2590639
"34","ENSG00000262666","FAM189B","family with sequence similarity 189 member B [Source:HGNC Symbol;Acc:HGNC:1233]","protein_coding","CHR_HSCHR1_2_CTG31",155262609
"35","ENSG00000275571","TTC34","tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]","protein_coding","CHR_HSCHR1_1_CTG3",2635571
"36","ENSG00000263290","SCAMP3","secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]","protein_coding","CHR_HSCHR1_2_CTG31",155271383
"37","ENSG00000261893","CLK2","CDC like kinase 2 [Source:HGNC Symbol;Acc:HGNC:2069]","protein_coding","CHR_HSCHR1_2_CTG31",155278272
"38","ENSG00000263324","HCN3","hyperpolarization activated cyclic nucleotide gated potassium channel 3 [Source:HGNC Symbol;Acc:HGNC:19183]","protein_coding","CHR_HSCHR1_2_CTG31",155292987
"39","ENSG00000262785","PKLR","pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]","protein_coding","CHR_HSCHR1_2_CTG31",155305243
"40","ENSG00000275544","BDH1","3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]","protein_coding","CHR_HSCHR3_2_CTG3",197506664
"41","ENSG00000281078","IGKV1D-8","immunoglobulin kappa variable 1D-8 [Source:HGNC Symbol;Acc:HGNC:5759]","IG_V_gene","CHR_HSCHR2_2_CTG7",90220727
"42","ENSG00000276734","KIF5C","kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]","protein_coding","CHR_HSCHR2_2_CTG7_2",148937284
"43","ENSG00000262418","PTPRC","protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]","protein_coding","CHR_HSCHR1_3_CTG31",198650158
"44","ENSG00000282953","MUC20-OT1","MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]","lncRNA","CHR_HSCHR3_1_CTG3",195658062
"45","ENSG00000276583","MUC20","mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","protein_coding","CHR_HSCHR3_1_CTG3",195720882
"46","ENSG00000279643","TAMM41","TAM41 mitochondrial translocator assembly and maintenance homolog [Source:HGNC Symbol;Acc:HGNC:25187]","protein_coding","CHR_HSCHR3_1_CTG1",11817080
"47","ENSG00000280512","MUC20-OT1","MUC20 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:53807]","lncRNA","CHR_HSCHR3_6_CTG3",195658062
"48","ENSG00000277926","NEU4","neuraminidase 4 [Source:HGNC Symbol;Acc:HGNC:21328]","protein_coding","CHR_HSCHR2_3_CTG15",241808825
"49","ENSG00000276977","PDCD1","programmed cell death 1 [Source:HGNC Symbol;Acc:HGNC:8760]","protein_coding","CHR_HSCHR2_3_CTG15",241849881
"50","ENSG00000277949","RTP5","receptor transporter protein 5 (putative) [Source:HGNC Symbol;Acc:HGNC:26585]","protein_coding","CHR_HSCHR2_3_CTG15",241869600
"51","ENSG00000275501","MUC20","mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]","protein_coding","CHR_HSCHR3_6_CTG3",195720882
"52","ENSG00000276725","CEP170","centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]","protein_coding","CHR_HSCHR1_3_CTG32_1",243124428
"53","ENSG00000281614","INPP5D","inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079]","protein_coding","CHR_HG2232_PATCH",233059967
"54","ENSG00000281089","ATG16L1","autophagy related 16 like 1 [Source:HGNC Symbol;Acc:HGNC:21498]","protein_coding","CHR_HG2232_PATCH",233210051
"55","ENSG00000281857","SAG","S-antigen visual arrestin [Source:HGNC Symbol;Acc:HGNC:10521]","protein_coding","CHR_HG2232_PATCH",233307816
"56","ENSG00000280873","DGKD","diacylglycerol kinase delta [Source:HGNC Symbol;Acc:HGNC:2851]","protein_coding","CHR_HG2232_PATCH",233354507
"57","ENSG00000276111","SDCCAG8","SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]","protein_coding","CHR_HSCHR1_3_CTG32_1",243256056
"58","ENSG00000275199","AKT3","AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]","protein_coding","CHR_HSCHR1_3_CTG32_1",243488233
"59","ENSG00000283034","ZNF445","zinc finger protein 445 [Source:HGNC Symbol;Acc:HGNC:21018]","protein_coding","CHR_HG2066_PATCH",44431705
"60","ENSG00000281626","ZNF852","zinc finger protein 852 [Source:HGNC Symbol;Acc:HGNC:27713]","protein_coding","CHR_HG2066_PATCH",44494847
"61","ENSG00000281894","ZKSCAN7","zinc finger with KRAB and SCAN domains 7 [Source:HGNC Symbol;Acc:HGNC:12955]","protein_coding","CHR_HG2066_PATCH",44555193
"62","ENSG00000280661","ZNF660","zinc finger protein 660 [Source:HGNC Symbol;Acc:HGNC:26720]","protein_coding","CHR_HG2066_PATCH",44578223
"63","ENSG00000281709","ZNF197","zinc finger protein 197 [Source:HGNC Symbol;Acc:HGNC:12988]","protein_coding","CHR_HG2066_PATCH",44584888
"64","ENSG00000281306","ZNF35","zinc finger protein 35 [Source:HGNC Symbol;Acc:HGNC:13099]","protein_coding","CHR_HG2066_PATCH",44648732
"65","ENSG00000281448","ZNF502","zinc finger protein 502 [Source:HGNC Symbol;Acc:HGNC:23718]","protein_coding","CHR_HG2066_PATCH",44712639
"66","ENSG00000281661","ZNF501","zinc finger protein 501 [Source:HGNC Symbol;Acc:HGNC:23717]","protein_coding","CHR_HG2066_PATCH",44729592
"67","ENSG00000281665","KIAA1143","KIAA1143 [Source:HGNC Symbol;Acc:HGNC:29198]","protein_coding","CHR_HG2066_PATCH",44737657
"68","ENSG00000280610","KIF15","kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]","protein_coding","CHR_HG2066_PATCH",44761717
"69","ENSG00000282801","IGKV1-5","immunoglobulin kappa variable 1-5 [Source:HGNC Symbol;Acc:HGNC:5741]","IG_V_gene","CHR_HG2290_PATCH",88947301
"70","ENSG00000282823","IGKV3-11","immunoglobulin kappa variable 3-11 [Source:HGNC Symbol;Acc:HGNC:5815]","IG_V_gene","CHR_HG2290_PATCH",89027171
"71","ENSG00000282447","IGKV3-15","immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816]","IG_V_gene","CHR_HG2290_PATCH",89085177
"72","ENSG00000282282","IGKV1-16","immunoglobulin kappa variable 1-16 [Source:HGNC Symbol;Acc:HGNC:5732]","IG_V_gene","CHR_HG2290_PATCH",89099859
"73","ENSG00000281978","IGKV1-17","immunoglobulin kappa variable 1-17 [Source:HGNC Symbol;Acc:HGNC:5733]","IG_V_gene","CHR_HG2290_PATCH",89117342
"74","ENSG00000282402","IGKV3-20","immunoglobulin kappa variable 3-20 [Source:HGNC Symbol;Acc:HGNC:5817]","IG_V_gene","CHR_HG2290_PATCH",89142574
"75","ENSG00000282671","IGKV2-24","immunoglobulin kappa variable 2-24 [Source:HGNC Symbol;Acc:HGNC:5781]","IG_V_gene","CHR_HG2290_PATCH",89176328
"76","ENSG00000280516","TMEM42","transmembrane protein 42 [Source:HGNC Symbol;Acc:HGNC:28444]","protein_coding","CHR_HG2066_PATCH",44861900
"77","ENSG00000282635","IGKV2-29","immunoglobulin kappa variable 2-29 [Source:HGNC Symbol;Acc:HGNC:5784]","IG_V_pseudogene","CHR_HG2290_PATCH",89234174
"78","ENSG00000281933","IGKV2-30","immunoglobulin kappa variable 2-30 [Source:HGNC Symbol;Acc:HGNC:5785]","IG_V_gene","CHR_HG2290_PATCH",89244781
"79","ENSG00000282120","IGKV1-39","immunoglobulin kappa variable 1-39 [Source:HGNC Symbol;Acc:HGNC:5740]","IG_V_gene","CHR_HG2290_PATCH",89319625
"80","ENSG00000280908","PADI4","peptidyl arginine deiminase 4 [Source:HGNC Symbol;Acc:HGNC:18368]","protein_coding","CHR_HG2095_PATCH",17310905
"81","ENSG00000280949","PADI6","peptidyl arginine deiminase 6 [Source:HGNC Symbol;Acc:HGNC:20449]","protein_coding","CHR_HG2095_PATCH",17374905
"82","ENSG00000281540","RCC2","regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]","protein_coding","CHR_HG2095_PATCH",17409469
"83","ENSG00000281877","RPS6KA1","ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]","protein_coding","CHR_HG2058_PATCH",26529761
"84","ENSG00000283124","LINC01355","long intergenic non-protein coding RNA 1355 [Source:HGNC Symbol;Acc:HGNC:50584]","lncRNA","CHR_HSCHR1_4_CTG3",23288771
"85","ENSG00000282958","HNRNPR","heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]","protein_coding","CHR_HSCHR1_4_CTG3",23311235
"86","ENSG00000283009","ZNF436","zinc finger protein 436 [Source:HGNC Symbol;Acc:HGNC:20814]","protein_coding","CHR_HSCHR1_4_CTG3",23366912
"87","ENSG00000283106","ZNF436-AS1","ZNF436 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25122]","lncRNA","CHR_HSCHR1_4_CTG3",23376461
"88","ENSG00000282941","TCEA3","transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]","protein_coding","CHR_HSCHR1_4_CTG3",23388373
"89","ENSG00000282854","ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]","protein_coding","CHR_HSCHR1_4_CTG3",23436027
"90","ENSG00000282899","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]","protein_coding","CHR_HSCHR1_4_CTG3",23513902
"91","ENSG00000283060","ID3","inhibitor of DNA binding 3, HLH protein [Source:HGNC Symbol;Acc:HGNC:5362]","protein_coding","CHR_HSCHR1_4_CTG3",23565390
"92","ENSG00000282739","SLC25A26","solute carrier family 25 member 26 [Source:HGNC Symbol;Acc:HGNC:20661]","protein_coding","CHR_HG2235_PATCH",66133610
"93","ENSG00000281518","FOXO6","forkhead box O6 [Source:HGNC Symbol;Acc:HGNC:24814]","protein_coding","CHR_HG986_PATCH",41361434
"94","ENSG00000281917","SLC16A1","solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]","protein_coding","CHR_HG2104_PATCH",112911847
"95","ENSG00000280680","HHAT","hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]","protein_coding","CHR_HG1832_PATCH",210328252
"96","ENSG00000285104","AL357556.4","novel transcript, antisense to TBCE","lncRNA","CHR_HSCHR1_5_CTG32_1",235366353
"97","ENSG00000282880","B3GALNT2","beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:28596]","protein_coding","CHR_HSCHR1_5_CTG32_1",235450981
"98","ENSG00000282972","GNG4","G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]","protein_coding","CHR_HSCHR1_5_CTG32_1",235551476
"99","ENSG00000281766","RYBP","RING1 and YY1 binding protein [Source:NCBI gene (formerly Entrezgene);Acc:23429]","protein_coding","CHR_HG126_PATCH",72378406
"100","ENSG00000283510","INO80D","INO80 complex subunit D [Source:HGNC Symbol;Acc:HGNC:25997]","protein_coding","CHR_HSCHR2_6_CTG7_2",205993721
"101","ENSG00000283447","NDUFS1","NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]","protein_coding","CHR_HSCHR2_6_CTG7_2",206114817
"102","ENSG00000284017","PLCL2","phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064]","protein_coding","CHR_HG2236_PATCH",16802651
"103","ENSG00000283391","EEF1B2","eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:HGNC:3208]","protein_coding","CHR_HSCHR2_6_CTG7_2",206159585
"104","ENSG00000283448","GPR1","G protein-coupled receptor 1 [Source:HGNC Symbol;Acc:HGNC:4463]","protein_coding","CHR_HSCHR2_6_CTG7_2",206175316
"105","ENSG00000283649","ZDBF2","zinc finger DBF-type containing 2 [Source:HGNC Symbol;Acc:HGNC:29313]","protein_coding","CHR_HSCHR2_6_CTG7_2",206279283
"106","ENSG00000285005","PLEKHM3","pleckstrin homology domain containing M3 [Source:HGNC Symbol;Acc:HGNC:34006]","protein_coding","CHR_HSCHR2_8_CTG7_2",207821288
"107","ENSG00000284871","LINC00971","long intergenic non-protein coding RNA 971 [Source:HGNC Symbol;Acc:HGNC:48737]","lncRNA","CHR_HSCHR3_4_CTG1",84638405
"108","ENSG00000284539","VAV3-AS1","VAV3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40608]","lncRNA","CHR_HSCHR1_6_CTG3",107964443
"109","ENSG00000284468","SLC25A24","solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]","protein_coding","CHR_HSCHR1_6_CTG3",108134010
"110","ENSG00000285344","TRIM17","tripartite motif containing 17 [Source:HGNC Symbol;Acc:HGNC:13430]","protein_coding","CHR_HG2002_PATCH",228407935
"111","ENSG00000285426","RNF187","ring finger protein 187 [Source:HGNC Symbol;Acc:HGNC:27146]","protein_coding","CHR_HG2002_PATCH",228487382
"112","ENSG00000284984","RHOU","ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]","protein_coding","CHR_HG2002_PATCH",228721284
"113","ENSG00000284901","RUVBL1","RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474]","protein_coding","CHR_HSCHR3_9_CTG2_1",128064778
"114","ENSG00000284869","EEFSEC","eukaryotic elongation factor, selenocysteine-tRNA specific [Source:HGNC Symbol;Acc:HGNC:24614]","protein_coding","CHR_HSCHR3_9_CTG2_1",128160388
"115","ENSG00000285394","C3orf52","chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]","protein_coding","CHR_HSCHR3_6_CTG2_1",112086335
"116","ENSG00000284925","GCSAM","germinal center associated signaling and motility [Source:HGNC Symbol;Acc:HGNC:20253]","protein_coding","CHR_HSCHR3_6_CTG2_1",112120839
"117","ENSG00000288335","TWIST2","twist family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:20670]","protein_coding","CHR_HG721_PATCH",238848032
"118","ENSG00000285317","DNAJC8","DnaJ heat shock protein family (Hsp40) member C8 [Source:HGNC Symbol;Acc:HGNC:15470]","protein_coding","CHR_HSCHR1_8_CTG3",28199456
"119","ENSG00000285390","ATP5IF1","ATP synthase inhibitory factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:871]","protein_coding","CHR_HSCHR1_8_CTG3",28236109
"120","ENSG00000285069","SESN2","sestrin 2 [Source:HGNC Symbol;Acc:HGNC:20746]","protein_coding","CHR_HSCHR1_8_CTG3",28259518
"121","ENSG00000284944","MED18","mediator complex subunit 18 [Source:HGNC Symbol;Acc:HGNC:25944]","protein_coding","CHR_HSCHR1_8_CTG3",28329002
"122","ENSG00000288312","LINC02018","long intergenic non-protein coding RNA 2018 [Source:HGNC Symbol;Acc:HGNC:52853]","lncRNA","CHR_HSCHR3_5_CTG1",75445517
"123","ENSG00000272602","ZNF595","zinc finger protein 595 [Source:HGNC Symbol;Acc:HGNC:27196]","protein_coding","4",53286
"124","ENSG00000250312","ZNF718","zinc finger protein 718 [Source:HGNC Symbol;Acc:HGNC:26889]","protein_coding","4",124501
"125","ENSG00000131127","ZNF141","zinc finger protein 141 [Source:HGNC Symbol;Acc:HGNC:12926]","protein_coding","4",337814
"126","ENSG00000182903","ZNF721","zinc finger protein 721 [Source:HGNC Symbol;Acc:HGNC:29425]","protein_coding","4",425815
"127","ENSG00000174227","PIGG","phosphatidylinositol glycan anchor biosynthesis class G [Source:HGNC Symbol;Acc:HGNC:25985]","protein_coding","4",499210
"128","ENSG00000133256","PDE6B","phosphodiesterase 6B [Source:HGNC Symbol;Acc:HGNC:8786]","protein_coding","4",625573
"129","ENSG00000169020","ATP5ME","ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846]","protein_coding","4",672436
"130","ENSG00000215375","MYL5","myosin light chain 5 [Source:HGNC Symbol;Acc:HGNC:7586]","protein_coding","4",673580
"131","ENSG00000169026","SLC49A3","solute carrier family 49 member 3 [Source:HGNC Symbol;Acc:HGNC:26177]","protein_coding","4",681829
"132","ENSG00000185619","PCGF3","polycomb group ring finger 3 [Source:HGNC Symbol;Acc:HGNC:10066]","protein_coding","4",705748
"133","ENSG00000248416","AC107464.1","novel transcript","lncRNA","4",722275
"134","ENSG00000272588","AC139887.4","novel transcript, antisense to PCGF3","lncRNA","4",757022
"135","ENSG00000249592","AC139887.2","novel transcript, antisense to PCGF3","lncRNA","4",760202
"136","ENSG00000168993","CPLX1","complexin 1 [Source:HGNC Symbol;Acc:HGNC:2309]","protein_coding","4",784957
"137","ENSG00000178950","GAK","cyclin G associated kinase [Source:HGNC Symbol;Acc:HGNC:4113]","protein_coding","4",849276
"138","ENSG00000127419","TMEM175","transmembrane protein 175 [Source:HGNC Symbol;Acc:HGNC:28709]","protein_coding","4",932387
"139","ENSG00000145214","DGKQ","diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]","protein_coding","4",958887
"140","ENSG00000145217","SLC26A1","solute carrier family 26 member 1 [Source:HGNC Symbol;Acc:HGNC:10993]","protein_coding","4",979073
"141","ENSG00000127415","IDUA","alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]","protein_coding","4",986997
"142","ENSG00000127418","FGFRL1","fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]","protein_coding","4",1009936
"143","ENSG00000178222","RNF212","ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]","protein_coding","4",1056250
"144","ENSG00000251652","AC092535.4","novel transcript","lncRNA","4",1113639
"145","ENSG00000212458","AC092535.1","","snoRNA","4",1118884
"146","ENSG00000159674","SPON2","spondin 2 [Source:HGNC Symbol;Acc:HGNC:11253]","protein_coding","4",1166932
"147","ENSG00000280927","CTBP1-AS","CTBP1 antisense RNA [Source:HGNC Symbol;Acc:HGNC:48337]","lncRNA","4",1210120
"148","ENSG00000159692","CTBP1","C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]","protein_coding","4",1211445
"149","ENSG00000196810","CTBP1-DT","CTBP1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:28307]","lncRNA","4",1249300
"150","ENSG00000090316","MAEA","macrophage erythroblast attacher, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:13731]","protein_coding","4",1289887
"151","ENSG00000163945","UVSSA","UV stimulated scaffold protein A [Source:HGNC Symbol;Acc:HGNC:29304]","protein_coding","4",1345691
"152","ENSG00000244459","AC147067.1","novel transcript","lncRNA","4",1574062
"153","ENSG00000174137","FAM53A","family with sequence similarity 53 member A [Source:HGNC Symbol;Acc:HGNC:31860]","protein_coding","4",1617915
"154","ENSG00000163950","SLBP","stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]","protein_coding","4",1692731
"155","ENSG00000270195","AC016773.1","novel transcript","lncRNA","4",1712821
"156","ENSG00000013810","TACC3","transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]","protein_coding","4",1712891
"157","ENSG00000168936","TMEM129","transmembrane protein 129, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:25137]","protein_coding","4",1715952
"158","ENSG00000168924","LETM1","leucine zipper and EF-hand containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6556]","protein_coding","4",1811479
"159","ENSG00000109685","NSD2","nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]","protein_coding","4",1871393
"160","ENSG00000185049","NELFA","negative elongation factor complex member A [Source:HGNC Symbol;Acc:HGNC:12768]","protein_coding","4",1982717
"161","ENSG00000243449","C4orf48","chromosome 4 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:34437]","protein_coding","4",2041993
"162","ENSG00000130997","POLN","DNA polymerase nu [Source:HGNC Symbol;Acc:HGNC:18870]","protein_coding","4",2071918
"163","ENSG00000214367","HAUS3","HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]","protein_coding","4",2078998
"164","ENSG00000123933","MXD4","MAX dimerization protein 4 [Source:HGNC Symbol;Acc:HGNC:13906]","protein_coding","4",2247432
"165","ENSG00000159733","ZFYVE28","zinc finger FYVE-type containing 28 [Source:HGNC Symbol;Acc:HGNC:29334]","protein_coding","4",2269582
"166","ENSG00000063978","RNF4","ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]","protein_coding","4",2462220
"167","ENSG00000125386","FAM193A","family with sequence similarity 193 member A [Source:HGNC Symbol;Acc:HGNC:16822]","protein_coding","4",2536647
"168","ENSG00000168884","TNIP2","TNFAIP3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:19118]","protein_coding","4",2741648
"169","ENSG00000087266","SH3BP2","SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]","protein_coding","4",2793071
"170","ENSG00000087274","ADD1","adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]","protein_coding","4",2843857
"171","ENSG00000109736","MFSD10","major facilitator superfamily domain containing 10 [Source:HGNC Symbol;Acc:HGNC:16894]","protein_coding","4",2930561
"172","ENSG00000249673","NOP14-AS1","NOP14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:20205]","lncRNA","4",2934882
"173","ENSG00000087269","NOP14","NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]","protein_coding","4",2937933
"174","ENSG00000125388","GRK4","G protein-coupled receptor kinase 4 [Source:HGNC Symbol;Acc:HGNC:4543]","protein_coding","4",2963571
"175","ENSG00000197386","HTT","huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]","protein_coding","4",3041422
"176","ENSG00000188981","MSANTD1","Myb/SANT DNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33741]","protein_coding","4",3244369
